text,label
"technopoli plan develop stage area 100,000 square meter order host company work computer technology telecommunication statement say",0
international electronic industry company Elcoteq lay ten employee Tallinn facility contrary early layoff company contract rank office worker daily Postimees report,-1
new production plant company increase capacity meet expect increase demand improve use raw material increase production profitability,1
accord company update strategy year 2009 2012 Basware target long term net sale growth range 20 -40 operate profit margin 10 -20 net sale,1
financing ASPOCOMP GROWTH Aspocomp aggressively pursue growth strategy increasingly focus technologically demanding HDI print circuit board pcb,1
quarter 2010 Componenta net sale double EUR131 m EUR76 m period year early move zero pre tax profit pre tax loss EUR7 m,1
quarter 2010 net sale increase 5.2 EUR 205.5 mn operate profit 34.9 EUR 23.5 mn,1
operate profit rise EUR 13.1 mn EUR 8.7 mn corresponding period 2007 represent 7.7 net sale,1
operate profit total EUR 21.1 mn EUR 18.6 mn 2007 represent 9.7 net sale,1
TeliaSonera TLSN say offer line strategy increase ownership core business holding strengthen Eesti Telekom offering customer,1
stora ENSO NORSKE SKOG M REAL upm KYMMENE Credit Suisse Boston CFSB raise fair value share large nordic forestry group,1
"purchase agreement 7,200 ton gasoline delivery Hamina terminal Finland sign Neste Oil oyj average Platts index September plus dollar month",1
finnish Talentum report operating profit increase EUR 20.5 mn 2005 EUR 9.3 mn 2004 net sale total EUR 103.3 mn EUR 96.4 mn,1
clothing retail chain Sepp+Æl+Æ sale increase 8 EUR 155.2 mn operating profit rise EUR 31.1 mn EUR 17.1 mn 2004,1
consolidated net sale increase 16 reach EUR74 .8 m operating profit amount EUR0 .9 m compare loss EUR0 .7 m prior year period,1
Foundries division report sale increase 9.7 EUR 63.1 mn EUR 57.5 mn corresponding period 2006 sale Machine Shop division increase 16.4 EUR 41.2 mn EUR 35.4 mn corresponding period 2006,1
HELSINKI AFX share close high lead Nokia announce plan team Sanyo manufacture 3 g handset Nokian Tyres fourth quarter earning report beat analyst expectation dealer say,1
incap Contract Manufacturing Services Pvt Ltd subsidiary Incap Corporation Finland plan double revenue 2007 2008,1
board director propose dividend EUR0 .12 share 2010 EUR0 .08 share pay 2009,1
Lifetree found 2000 revenue rise average 40 margin late 30,1
Filippova trilateral agreement investment construction technology park St Petersburg sign course forum day russian Economy open Helsinki today,1
MegaFon subscriber base increase 16.1 2009 50.5 million user December 31 market share number customer amount 24 late 2009 23 late 2008 accord TeliaSonera estimate,1
net income life insurance double EUR 6.8 mn EUR 3.2 mn net income non life insurance rise EUR 5.2 mn EUR 1.5 mn corresponding period 2009,1
net sale increase EUR193 .3 m EUR179 .9 m pretax profit rise 34.2 EUR43 .1 m. EUR1 = USD1 .4,1
net sale surge 18.5 EUR167 .8 m. Teleste say EUR20 .4 m 12.2 sale come acquisition 2009,1
Nordea Group operating profit increase 2010 18 percent year year 3.64 billion euro total revenue 3 percent 9.33 billion euro,1
operate profit month period increase EUR13 .6 m net sale increase eur394 .7 m compare corresponding period 2005,1
